Field,Field Name,Module,Field Type,Field Size,Description,Parent,Child,Field Reference,Parent Value,Parent Inverse,Parent_Child_Rules,2010 Reference,2010 Field,2010 FieldName,2010 Module,2010 Description,Comment
552,SEASON4END_ES,ES,Date,10,Season 4 end date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,653,SEASON4END_ES,ES,Season 4 end date.  Use short date format:  MM/DD/YYYY ,AMENDED
553,LRA_S4_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,658,LRA_S4_RT1_L2_ES_SGL,ES,"Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
554,LRA_S4_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,659,LRA_S4_RT1_L2_ES_DBL,ES,"Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
555,LRA_S4_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,660,LRA_S4_RT2_L2_ES_SGL,ES,"Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
556,LRA_S4_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,661,LRA_S4_RT2_L2_ES_DBL,ES,"Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
557,LRA_S4_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S4_RT3_L2_ES_SGL,,"Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
558,LRA_S4_RT3_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S4_RT3_L2_ES_DBL,,"Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
559,NLRA_S4_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,662,NLRA_S4_RT1_L2_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
560,NLRA_S4_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,663,NLRA_S4_RT1_L2_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
561,NLRA_S4_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,664,NLRA_S4_RT2_L2_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
562,NLRA_S4_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,665,NLRA_S4_RT2_L2_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
563,NLRA_S4_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S4_RT3_L2_ES_SGL,,"Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
564,NLRA_S4_RT3_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S4_RT3_L2_ES_DBL,,"Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
565,LRA_S4_RT1_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,674,LRA_S4_RT1_L3_ES_SGL,ES,"Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
566,LRA_S4_RT1_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,675,LRA_S4_RT1_L3_ES_DBL,ES,"Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
567,LRA_S4_RT2_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,676,LRA_S4_RT2_L3_ES_SGL,ES,"Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
568,LRA_S4_RT2_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,677,LRA_S4_RT2_L3_ES_DBL,ES,"Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
569,LRA_S4_RT3_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S4_RT3_L3_ES_SGL,,"Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
570,LRA_S4_RT3_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S4_RT3_L3_ES_DBL,,"Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
571,NLRA_S4_RT1_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,678,NLRA_S4_RT1_L3_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
572,NLRA_S4_RT1_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,679,NLRA_S4_RT1_L3_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
573,NLRA_S4_RT2_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,680,NLRA_S4_RT2_L3_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
574,NLRA_S4_RT2_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,681,NLRA_S4_RT2_L3_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
575,NLRA_S4_RT3_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S4_RT3_L3_ES_SGL,,"Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
576,NLRA_S4_RT3_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S4_RT3_L3_ES_DBL,,"Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
577,LRA_S4_RT1_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,690,LRA_S4_RT1_L4_ES_SGL,ES,"Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
578,LRA_S4_RT1_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,691,LRA_S4_RT1_L4_ES_DBL,ES,"Client Negotiated LRA rate for Season 4, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
579,LRA_S4_RT2_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,692,LRA_S4_RT2_L4_ES_SGL,ES,"Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
580,LRA_S4_RT2_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,693,LRA_S4_RT2_L4_ES_DBL,ES,"Client Negotiated LRA rate for Season 4, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
581,LRA_S4_RT3_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S4_RT3_L4_ES_SGL,,"Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
582,LRA_S4_RT3_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S4_RT3_L4_ES_DBL,,"Client Negotiated LRA rate for Season 4, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
583,NLRA_S4_RT1_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,694,NLRA_S4_RT1_L4_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
584,NLRA_S4_RT1_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,695,NLRA_S4_RT1_L4_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
585,NLRA_S4_RT2_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,696,NLRA_S4_RT2_L4_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
586,NLRA_S4_RT2_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,697,NLRA_S4_RT2_L4_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 4, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
587,NLRA_S4_RT3_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S4_RT3_L4_ES_SGL,,"Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
588,NLRA_S4_RT3_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S4_RT3_L4_ES_DBL,,"Client Negotiated non-LRA rate for Season 4, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
589,SEASON5START_ES,ES,Date,10,Season 5 start date. Use ISO 8601 format - Example: 2011-12-31  ,,,,,,,,NEW,SEASON5START_ES,,Season 5 start date.  Use ISO 8601 format - example YYYY-MM-DD,NEW
590,SEASON5END_ES,ES,Date,10,Season 5 end date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,NEW,SEASON5END_ES,,Season 5 end date.  Use ISO 8601 format - example YYYY-MM-DD,NEW
591,LRA_S5_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT1_L2_ES_SGL,,"Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
592,LRA_S5_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT1_L2_ES_DBL,,"Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
593,LRA_S5_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT2_L2_ES_SGL,,"Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
594,LRA_S5_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT2_L2_ES_DBL,,"Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
595,LRA_S5_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT3_L2_ES_SGL,,"Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
596,LRA_S5_RT3_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT3_L2_ES_DBL,,"Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
597,NLRA_S5_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT1_L2_ES_SGL,,"Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
598,NLRA_S5_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT1_L2_ES_DBL,,"Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
599,NLRA_S5_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT2_L2_ES_SGL,,"Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
600,NLRA_S5_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT2_L2_ES_DBL,,"Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
601,NLRA_S5_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT3_L2_ES_SGL,,"Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
602,NLRA_S5_RT3_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT3_L2_ES_DBL,,"Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
603,LRA_S5_RT1_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT1_L3_ES_SGL,,"Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
604,LRA_S5_RT1_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT1_L3_ES_DBL,,"Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
605,LRA_S5_RT2_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT2_L3_ES_SGL,,"Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
606,LRA_S5_RT2_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT2_L3_ES_DBL,,"Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
607,LRA_S5_RT3_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT3_L3_ES_SGL,,"Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
608,LRA_S5_RT3_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT3_L3_ES_DBL,,"Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
609,NLRA_S5_RT1_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT1_L3_ES_SGL,,"Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
610,NLRA_S5_RT1_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT1_L3_ES_DBL,,"Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
611,NLRA_S5_RT2_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT2_L3_ES_SGL,,"Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
612,NLRA_S5_RT2_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT2_L3_ES_DBL,,"Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
613,NLRA_S5_RT3_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT3_L3_ES_SGL,,"Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
614,NLRA_S5_RT3_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT3_L3_ES_DBL,,"Client Negotiated non-LRA rate for Season 5, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
615,LRA_S5_RT1_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT1_L4_ES_SGL,,"Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
616,LRA_S5_RT1_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT1_L4_ES_DBL,,"Client Negotiated LRA rate for Season 5, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
617,LRA_S5_RT2_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT2_L4_ES_SGL,,"Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
618,LRA_S5_RT2_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT2_L4_ES_DBL,,"Client Negotiated LRA rate for Season 5, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
619,LRA_S5_RT3_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT3_L4_ES_SGL,,"Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
620,LRA_S5_RT3_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S5_RT3_L4_ES_DBL,,"Client Negotiated LRA rate for Season 5, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
621,NLRA_S5_RT1_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT1_L4_ES_SGL,,"Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
622,NLRA_S5_RT1_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT1_L4_ES_DBL,,"Client Negotiated non-LRA rate for Season 5, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
623,NLRA_S5_RT2_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT2_L4_ES_SGL,,"Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
624,NLRA_S5_RT2_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S5_RT2_L4_ES_DBL,,"Client Negotiated non-LRA rate for Season 5, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
